Муниципалитет,Английский язык_МЭ_2024,Астрономия_МЭ_2024,Биология_МЭ_2024,География_МЭ_2024,Информатика_МЭ_2024,Искусство_МЭ_2024,Испанский язык_МЭ_2024,История_МЭ_2024,Итальянский язык_МЭ_2024,Китайский язык_МЭ_2024,Литература_МЭ_2024,Математика_МЭ_2024,Немецкий язык_МЭ_2024,Обществознание_МЭ_2024,Основы безопасности жизнедеятельности_МЭ_2024,Право_МЭ_2024,Русский язык_МЭ_2024,Технология_МЭ_2024,Физика_МЭ_2024,Физическая культура_МЭ_2024,Французский язык_МЭ_2024,Химия_МЭ_2024,Экология_МЭ_2024,Экономика_МЭ_2024
Батецкий  район,0,3,14,9,0,0,0,5,0,0,9,12,4,7,2,0,17,0,5,17,0,5,0,0
Боровичский  район,37,13,86,74,10,10,0,53,0,0,80,72,6,70,40,33,78,17,42,84,0,44,32,4
Валдайский  район,23,13,8,48,2,1,0,42,0,0,28,33,0,37,54,7,23,15,22,41,0,9,3,5
Волотовский  округ,9,0,8,2,11,0,0,8,0,0,2,12,0,9,6,2,15,2,2,15,0,2,0,2
Демянский  округ,8,0,9,5,0,1,0,4,0,0,13,5,3,21,11,4,16,14,11,17,0,1,4,1
Крестецкий  округ,8,0,13,11,2,0,0,12,0,0,17,13,0,18,14,6,21,1,11,18,0,9,0,0
Любытинский  район,6,3,21,13,7,0,0,16,0,0,15,13,3,22,14,8,17,19,12,14,0,12,7,3
Маловишерский район,28,0,34,31,8,0,0,37,0,0,,32,9,46,31,24,39,13,19,67,0,2,34,0
Марёвский  округ,0,0,3,4,0,0,0,4,0,0,8,5,0,8,0,0,8,4,0,6,0,2,0,0
Мошенской  округ,5,0,3,0,1,0,0,11,0,0,2,4,0,10,10,4,10,2,0,12,0,0,0,5
Новгородский  район,21,8,36,16,0,2,0,44,0,0,28,20,0,38,24,22,34,10,10,29,0,18,6,4
Окуловский район,13,1,33,22,0,0,0,30,0,0,17,24,0,31,42,21,14,18,10,43,0,0,17,3
Парфинский район,8,5,17,17,0,0,0,23,0,0,27,29,5,28,11,5,28,9,16,31,0,7,7,5
Пестовский  округ,37,9,38,38,6,18,0,23,0,0,47,36,0,50,38,13,,33,21,48,0,33,16,7
Поддорский район,2,0,0,1,0,3,0,0,0,0,3,0,0,1,2,0,10,0,0,0,0,0,0,0
Солецкий  округ,21,0,44,25,0,0,0,25,0,0,30,14,0,23,21,14,36,18,16,39,0,0,0,0
Старорусский район,64,34,61,55,8,29,0,71,0,0,73,44,0,105,81,46,91,102,48,82,0,39,37,10
Хвойнинский  округ,13,6,30,17,3,9,0,24,0,0,34,23,0,44,32,12,35,0,21,14,0,10,9,7
Холмский  район,13,9,14,14,5,0,0,13,0,0,10,4,10,14,10,5,10,15,9,24,0,14,0,0
Чудовский район,47,4,54,51,4,0,0,53,0,0,55,47,19,49,31,24,49,12,21,28,0,14,20,8
Шимский район,12,0,10,9,0,0,0,9,0,0,12,12,6,11,3,0,11,13,2,8,0,0,0,0
г. Великий Новгород,103,31,104,64,53,47,0,114,0,2,115,117,43,118,120,70,140,62,86,93,8,91,38,52
