Муниципалитет,Английский язык_ШЭ_2024,Астрономия_ШЭ_2024,Биология_ШЭ_2024,География_ШЭ_2024,Инжинерная графика_ШЭ_2024,Информатика_ШЭ_2024,Искусство_ШЭ_2024,Испанский язык_ШЭ_2024,История_ШЭ_2024,Итальянский язык_ШЭ_2024,Китайский язык_ШЭ_2024,Литература_ШЭ_2024,Математика_ШЭ_2024,Немецкий язык_ШЭ_2024,Обществознание_ШЭ_2024,Основы безопасности жизнедеятельности_ШЭ_2024,Право_ШЭ_2024,Русский язык_ШЭ_2024,Технология_ШЭ_2024,Физика_ШЭ_2024,Физическая культура_ШЭ_2024,Французский язык_ШЭ_2024,Химия_ШЭ_2024,Экология_ШЭ_2024,Экономика_ШЭ_2024
Батецкий  район,0.0,13.0,53.0,36.0,0.0,20.0,0.0,0.0,13.0,0.0,0.0,42.0,71.0,22.0,20.0,10.0,0.0,34.0,30.0,24.0,20.0,0.0,11.0,0.0,0.0
Боровичский  район,250.0,32.0,459.0,332.0,0.0,110.0,18.0,0.0,426.0,0.0,0.0,569.0,741.0,23.0,689.0,215.0,154.0,1143.0,195.0,216.0,1097.0,0.0,225.0,75.0,46.0
Валдайский  район,126.0,64.0,90.0,158.0,0.0,36.0,4.0,0.0,191.0,0.0,0.0,208.0,306.0,0.0,157.0,98.0,48.0,296.0,122.0,145.0,137.0,0.0,38.0,19.0,32.0
Волотовский  округ,81.0,0.0,17.0,41.0,0.0,74.0,5.0,0.0,81.0,0.0,0.0,81.0,90.0,0.0,81.0,81.0,5.0,160.0,3.0,4.0,81.0,0.0,3.0,0.0,5.0
Демянский  округ,21.0,0.0,104.0,15.0,0.0,38.0,1.0,0.0,105.0,0.0,0.0,158.0,140.0,35.0,98.0,63.0,15.0,161.0,87.0,43.0,81.0,0.0,31.0,8.0,3.0
Крестецкий  округ,33.0,0.0,35.0,43.0,0.0,8.0,0.0,0.0,33.0,0.0,0.0,68.0,61.0,0.0,41.0,24.0,7.0,69.0,7.0,23.0,42.0,0.0,13.0,0.0,0.0
Любытинский  район,52.0,8.0,60.0,105.0,0.0,22.0,0.0,0.0,63.0,0.0,0.0,78.0,75.0,19.0,81.0,49.0,19.0,115.0,65.0,80.0,113.0,0.0,52.0,28.0,7.0
Маловишерский район,118.0,0.0,176.0,154.0,0.0,92.0,0.0,0.0,257.0,0.0,0.0,226.0,164.0,57.0,212.0,107.0,164.0,212.0,96.0,134.0,294.0,0.0,97.0,119.0,0.0
Марёвский  округ,0.0,0.0,14.0,27.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,52.0,19.0,0.0,22.0,0.0,0.0,53.0,17.0,6.0,18.0,0.0,8.0,0.0,0.0
Мошенской  округ,21.0,0.0,17.0,40.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,6.0,24.0,0.0,48.0,35.0,12.0,72.0,4.0,1.0,50.0,0.0,2.0,0.0,10.0
Новгородский  район,143.0,103.0,270.0,159.0,0.0,91.0,8.0,0.0,159.0,0.0,0.0,194.0,686.0,0.0,230.0,75.0,70.0,352.0,44.0,274.0,205.0,0.0,191.0,6.0,14.0
Окуловский район,56.0,5.0,125.0,119.0,0.0,18.0,0.0,0.0,104.0,0.0,0.0,182.0,171.0,0.0,149.0,107.0,47.0,230.0,44.0,112.0,110.0,0.0,49.0,48.0,31.0
Парфинский район,34.0,49.0,129.0,89.0,0.0,47.0,0.0,0.0,68.0,0.0,0.0,57.0,125.0,14.0,64.0,44.0,5.0,105.0,26.0,52.0,82.0,0.0,46.0,12.0,5.0
Пестовский  округ,223.0,138.0,231.0,83.0,0.0,174.0,79.0,0.0,150.0,0.0,0.0,217.0,363.0,0.0,153.0,90.0,39.0,267.0,69.0,212.0,53.0,0.0,146.0,25.0,74.0
Поддорский район,11.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Солецкий  округ,51.0,0.0,96.0,51.0,0.0,37.0,0.0,0.0,47.0,0.0,0.0,132.0,122.0,0.0,53.0,46.0,15.0,128.0,104.0,64.0,62.0,0.0,30.0,0.0,0.0
Старорусский район,339.0,168.0,295.0,395.0,0.0,57.0,99.0,0.0,440.0,0.0,0.0,393.0,449.0,15.0,436.0,398.0,131.0,729.0,362.0,231.0,443.0,0.0,116.0,109.0,62.0
Хвойнинский  округ,76.0,21.0,148.0,127.0,0.0,52.0,49.0,0.0,114.0,0.0,0.0,190.0,208.0,0.0,181.0,97.0,31.0,208.0,24.0,85.0,148.0,0.0,34.0,17.0,31.0
Холмский  район,64.0,78.0,35.0,35.0,0.0,66.0,0.0,0.0,52.0,0.0,0.0,14.0,51.0,28.0,60.0,15.0,13.0,28.0,110.0,24.0,99.0,0.0,29.0,0.0,0.0
Чудовский район,461.0,47.0,316.0,439.0,0.0,92.0,0.0,0.0,638.0,0.0,0.0,590.0,352.0,193.0,314.0,431.0,84.0,559.0,248.0,147.0,698.0,0.0,162.0,242.0,44.0
Шимский район,18.0,0.0,19.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,29.0,31.0,10.0,31.0,10.0,0.0,25.0,23.0,3.0,13.0,0.0,0.0,0.0,0.0
г. Великий Новгород,1049.0,62.0,972.0,761.0,0.0,297.0,126.0,0.0,541.0,0.0,8.0,1560.0,5176.0,104.0,1234.0,535.0,223.0,4449.0,149.0,686.0,460.0,20.0,577.0,98.0,155.0
