Муниципалитет,Английский язык_ШЭ_2025,Астрономия_ШЭ_2025,Биология_ШЭ_2025,География_ШЭ_2025,Информатика_ШЭ_2025,Искусство_ШЭ_2025,Испанский язык_ШЭ_2025,История_ШЭ_2025,Итальянский язык_ШЭ_2025,Китайский язык_ШЭ_2025,Литература_ШЭ_2025,Математика_ШЭ_2025,Немецкий язык_ШЭ_2025,Обществознание_ШЭ_2025,Основы безопасности жизнедеятельности_ШЭ_2025,Право_ШЭ_2025,Русский язык_ШЭ_2025,Технология_ШЭ_2025,Физика_ШЭ_2025,Физическая культура_ШЭ_2025,Французский язык_ШЭ_2025,Химия_ШЭ_2025,Экология_ШЭ_2025,Экономика_ШЭ_2025
Батецкий  район,0.0,0.0,68.0,35.0,56.0,2.0,0.0,14.0,0.0,0.0,32.0,122.0,46.0,16.0,4.0,0.0,32.0,8.0,32.0,36.0,0.0,30.0,18.0,0.0
Боровичский  район,372.0,164.0,873.0,526.0,322.0,87.0,0.0,454.0,0.0,0.0,572.0,1147.0,0.0,546.0,414.0,110.0,655.0,149.0,487.0,1145.0,0.0,290.0,142.0,15.0
Валдайский  район,177.0,24.0,80.0,160.0,25.0,4.0,0.0,164.0,0.0,0.0,200.0,266.0,0.0,177.0,88.0,25.0,314.0,76.0,129.0,109.0,0.0,47.0,17.0,7.0
Волотовский  округ,67.0,0.0,45.0,67.0,10.0,0.0,0.0,67.0,0.0,0.0,67.0,100.0,0.0,67.0,51.0,51.0,164.0,0.0,4.0,67.0,0.0,13.0,0.0,0.0
Демянский  округ,24.0,0.0,110.0,132.0,0.0,0.0,0.0,160.0,0.0,0.0,86.0,242.0,69.0,177.0,48.0,0.0,202.0,151.0,71.0,95.0,0.0,64.0,57.0,0.0
Крестецкий  округ,22.0,1.0,41.0,54.0,18.0,0.0,0.0,46.0,0.0,0.0,48.0,73.0,0.0,44.0,37.0,5.0,85.0,7.0,7.0,93.0,0.0,14.0,0.0,0.0
Любытинский  район,27.0,49.0,69.0,62.0,27.0,7.0,0.0,39.0,0.0,0.0,72.0,91.0,5.0,59.0,28.0,17.0,99.0,41.0,79.0,43.0,0.0,49.0,31.0,13.0
Маловишерский район,62.0,0.0,112.0,103.0,53.0,0.0,0.0,97.0,0.0,0.0,120.0,205.0,16.0,96.0,87.0,34.0,159.0,67.0,99.0,105.0,0.0,39.0,56.0,0.0
Марёвский  округ,17.0,0.0,10.0,23.0,2.0,0.0,0.0,23.0,0.0,0.0,16.0,18.0,5.0,23.0,0.0,0.0,45.0,9.0,4.0,17.0,0.0,4.0,0.0,0.0
Мошенской  округ,24.0,0.0,14.0,32.0,2.0,0.0,0.0,22.0,0.0,0.0,10.0,35.0,0.0,29.0,19.0,5.0,51.0,0.0,5.0,37.0,0.0,6.0,7.0,10.0
Новгородский  район,104.0,8.0,302.0,367.0,45.0,8.0,0.0,176.0,0.0,0.0,141.0,405.0,14.0,251.0,164.0,89.0,431.0,116.0,254.0,260.0,0.0,99.0,28.0,36.0
Окуловский район,94.0,0.0,211.0,93.0,0.0,0.0,0.0,120.0,0.0,0.0,260.0,221.0,0.0,145.0,83.0,63.0,357.0,35.0,82.0,99.0,0.0,28.0,43.0,26.0
Парфинский район,54.0,12.0,114.0,108.0,18.0,2.0,0.0,98.0,0.0,0.0,70.0,84.0,5.0,63.0,37.0,17.0,148.0,39.0,22.0,98.0,0.0,18.0,18.0,5.0
Пестовский  округ,99.0,77.0,233.0,138.0,80.0,53.0,0.0,106.0,0.0,0.0,133.0,212.0,0.0,124.0,84.0,14.0,186.0,171.0,71.0,169.0,0.0,129.0,43.0,32.0
Поддорский район,7.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,14.0,0.0,1.0,39.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Солецкий  округ,42.0,0.0,59.0,62.0,57.0,0.0,0.0,83.0,0.0,0.0,82.0,97.0,0.0,80.0,46.0,60.0,102.0,37.0,33.0,72.0,0.0,55.0,0.0,0.0
Старорусский район,285.0,202.0,519.0,521.0,122.0,111.0,0.0,383.0,0.0,0.0,467.0,589.0,13.0,395.0,308.0,111.0,747.0,380.0,282.0,455.0,0.0,190.0,130.0,52.0
Хвойнинский  округ,51.0,9.0,110.0,105.0,66.0,21.0,0.0,93.0,0.0,0.0,164.0,137.0,0.0,119.0,114.0,22.0,186.0,6.0,44.0,135.0,0.0,42.0,37.0,14.0
Холмский  район,27.0,31.0,34.0,14.0,14.0,0.0,0.0,46.0,0.0,0.0,18.0,50.0,27.0,44.0,26.0,13.0,26.0,92.0,37.0,91.0,0.0,22.0,0.0,0.0
Чудовский район,474.0,4.0,303.0,469.0,212.0,0.0,0.0,530.0,0.0,0.0,500.0,563.0,143.0,401.0,315.0,52.0,602.0,353.0,248.0,338.0,0.0,175.0,176.0,45.0
Шимский район,15.0,0.0,10.0,15.0,15.0,0.0,0.0,27.0,0.0,0.0,24.0,38.0,9.0,24.0,6.0,6.0,31.0,15.0,1.0,5.0,0.0,2.0,0.0,0.0
г. Великий Новгород,893.0,86.0,1067.0,808.0,437.0,96.0,3.0,557.0,3.0,11.0,989.0,3906.0,79.0,1306.0,375.0,214.0,4224.0,148.0,661.0,470.0,26.0,473.0,98.0,164.0
