ID вакансии,Название вакансии,Описание вакансии,Ключевые навыки,Название специальности,Заработная плата,Опыт работы
116754638,Коммерческий редактор на vc.ru и DTF,"О каких площадках речь:   vc.ru — платформа для российских предпринимателей, разработчиков, аналитиков, пиарщиков и других специалистов, которым интересны темы бизнеса и ИТ. Посмотреть партнёрские материалы можно тут https://vc.ru/promo DTF — платформа для обсуждения игр, кино и технологий. Посмотреть партнёрские материалы можно тут https://dtf.ru/promo Банки, ИТ-корпорации, маркетплейсы и производители электроники — наши основные клиенты. Мы делаем для них рекламу, которая увлекает пользователей — и благодаря этому решает задачи бизнеса. Чем предстоит заниматься:   Работать над нативными и продуктовыми статьями для наших промо-проектов и блогов клиентов. Искать сильных внештатных авторов, заказывать и редактировать тексты, подводить под наши стандарты, давать обратную связь. Делать всё, чтобы читатели писали «Вау, какая классная реклама!» в комментариях как можно чаще.   Вносить правки от клиентов — так, чтобы те не потеряли желание сотрудничать с нами в будущем. Аргументированно объяснять, почему предложенная нами формулировка справится с задачей лучше, находить компромиссы в стилистике и смысловом наполнении.   Следить за статистикой, подбирать наиболее кликабельные заголовки, строить гипотезы и осознанно экспериментировать с подачей.   Работать с продвижением материалов. Генерировать подводки для текстов и смешно шутить.   Что мы ожидаем от коллеги:   Вы больше двух лет работали автором или редактором в диджитал-медиа.   Можете не только заказать, но и написать сильный текст самостоятельно.   Умеете разговаривать уверенно и тактично. Не испытываете раздражения от мысли, что на комментарии на полях и письма клиентам придётся тратить много времени.   Спокойно относитесь к правкам и легко находите компромиссы.   Пишете легко. Знаете не только об инфостиле, но и других стилях написания текстов.   Вам интересны темы бизнеса и ИТ. Будет преимуществом, если вы уже работали над текстами для крупных банков и корпораций.   Что мы предлагаем:   Проекты с крупными компаниями («Сбер», «Альфа-Банк», «Т-Банк», «Яндекс», VK, Ozon, «Авито» и другие), которые не стыдно положить в портфолио.   Умеренно свободный график. Мы работаем по часовому поясу Москвы, но не будем проверять, открыли ли вы ноутбук в девять утра. Главное — укладываться в дедлайны и никого не подводить.   Возможность работать удалённо. С коллегами при этом можно видеться в офисе в центре Москвы — между «Третьяковской» и «Павелецкой».   Оплачиваемые отпуска и больничные.   Работу в приятном коллективе без бюрократии и корпоративных интриг. Коллеги — бережные и заботливые, всегда готовы помочь.  ",,UX-редактор,0,1-3
107954026,Techincal Writer,"Привет! Мы - Wildberries, крупнейший маркетплейс России. Wildberries - это 30 млн пользователей ежедневно, сотни тысяч сотрудников и одна из сильнейших IT-команд в стране. Сейчас мы ищем Технического писателя в наш продукт - сервис для хранения данных. Что предстоит делать:   Разрабатывать проектную и рабочую документацию с нуля (не ГОСТ);   Наполнять базу знаний и создавать инструкции для внутреннего пользования;   Готовить change-log изменений с описанием новых возможностей сервиса;   Общаться с командой проекта, чтобы понять особенности и функциональности сервиса.   Что ожидаем:   Внимательность и ответственный подход к работе;   Релевантный опыт работы от 2-х лет техническим писателем в проектах, связанных с разработкой и внедрением информационных систем;   Понимание процессов разработки и поддержки программного обеспечения;   Умение четко и ясно излагать свои мысли;   Грамотная письменная и устная речь;   Хорошие коммуникативные навыки;   Умение планировать свою работу;   Опыт работы с различными сервисами и приложениями для документирования, построения диаграмм и интерфейсов (Wiki, Miro, Draw.io, Balsamic, Figma и др).   Будет плюсом:   Техническое образование;   Умение разговаривать с разработчиками на одном языке.   Условия:  Оформление по ТК РФ; Возможен удаленный формат работы; Партнерские программы по обучению и фитнесу. ",,UX-редактор,0,1-3
107952091,Главный редактор медиапроекта Наука,"Ищем специалиста, который соберёт редакцию и наладит стабильное производство контента по научной тематике. Уже на старте вы будете создавать новости, статьи, видео (эксплейнеры) и полезные лонгриды. В вашей команде будут как исполнители, так и другие управленцы, отвечающие за свое мини-направление. Задачи:  нанимать, обучать и поддерживать внешних авторов и редакторов; наращивать ежедневный выпуск; создавать новые перспективные форматы, экспериментировать; совместно с командами дизайна, маркетинга и PR придумывать и воплощать крутые спецпроекты; готовить контент с экспертами, учёными и популяризаторами науки; вести отчётность — отслеживать выпуск материалов и оплату авторам, описывать успехи проекта на словах и в цифрах; работать с метриками — анализировать статистику, находить точки роста, выполнять KPI.  Требования:  вы развивали медиа про науку и технологии не менее трёх лет; умеете организовать и сплотить команду, делегировать задачи, распределять нагрузку между сотрудниками; разбираетесь в научных направлениях, следите за трендами; понимаете, как устроены источники трафика, что нужно сделать, чтобы «качать» из поисковых систем, а что — из рекомендательных; какие заголовки считать кликбейтом, а какие — идеальными для SEO; умеете работать с аналитикой, быстро разбираться в статистике и метриках.  Будет плюсом, если вы сами приложили руку к развитию российской науки, лично посещали лаборатории, испытательные стенды или имеете опыт общения с научным сообществом.  ",,UX-редактор,0,3-6
110292823,Стажер в отдел модерации контента,"Привет! Мы - команда Advert Line! Компания объединяет в себе множество Highload-проектов, связанных с разработкой, привлечением трафика и монетизацией. У нас много продуктов: CPA и RTB, рекламные проекты, широчайший спектр деятельности в интернете. Мы в поиске стажеров-модераторов контента, которые будут отвечать за проверку и организацию пользовательского контента в нашем приложении с вертикальными видео. Эта роль идеальна для тех, кто хочет начать развиваться в сфере digital и контент-модерации, а также получить опыт работы в динамичном IT-проекте. Основные обязанности:  Модерация загружаемых пользователями видео: проверка соответствия контенту и стандартам платформы Аппрув видео для публикации Маппинг видео по категориям и хэштегам для улучшения работы рекомендательной системы Описание видео и добавление их в соответствующие категории Использование модерационного контента для создания пуш-уведомлений Управление и модерирование базы пуш-уведомлений, ее обновление и поддержка актуальности Сбор и подбор нового контента для различных целевых аудиторий Курирование и создание коллекций видео для приложения: подбор, создание и выкладывание  Требования:  Интерес к современным трендам в сфере видео-контента и социальных сетей Внимательность и способность быстро анализировать большой объем информации Способность структурировать контент и находить ему правильное место в системе категорий и хэштегов Умение четко формулировать описания для видео Хорошие коммуникативные навыки и креативный подход к подбору контента  Что мы предлагаем:  Опыт работы в быстроразвивающемся проекте с вертикальными видео; Возможности для профессионального роста в digital-индустрии; Дружная команда, которая всегда готова помочь; Гибкий график, возможность совмещать с учебой, неполный рабочий день Суббота и воскресенье - выходные, гибкое начало и окончание рабочего дня Возможен удаленный формат работы, либо работа в нашем коворкинге в Санкт-Петербурге Возможность обучения и повышения квалификации за счет компании Занятия английским языком Кафетерий бенефитов, который ты можешь потратить на что угодно :)  Если ты хочешь развиваться в сфере контент-модерации и создать увлекательный контент для миллионов пользователей, присоединяйся к нашей команде!</p>",Анализ целевой аудитории;Аналитическое мышление;Внимательность;Знание основ в области маркетинга;Информационная грамотность;Коммуникативная грамотность;Креативное мышление;Создание и дистрибуция контента;Умение выражать и формулировать мысли,UX-редактор,30000,0
107960381,Ведущий редактор,"Мы в поиске того самого человека, который дышит трендами, живет текстами и не представляет жизни без креативных решений. Если ты можешь зацепить внимание одним предложением и не боишься экспериментировать с форматами, то наша вакансия для тебя.   Что нужно будет делать: • Создавать и редактировать тексты для соцсетей, которые захватывают внимание и вызывают эмоции. От короткой цепляющей подводки до увлекательного лонгрида. • Придумывать идеи для контента, которые удивляют и вдохновляют. • Активно использовать ChatGPT и другие AI-инструменты для ускорения процесса и генерации свежих идей. • Работать с дизайнерами через Figma, чтобы текст и визуал были на одной волне. • Следить за трендами в копирайтинге и социальных медиа, чтобы наши клиенты всегда были на гребне волны. • Поддерживать фирменный стиль и голос бренда в каждом тексте.   Кто нам нужен: • Ты уже не новичок в копирайтинге для соцмедиа (опыт от 2 лет). • У тебя отличный русский язык и ты знаешь, как писать цепляющие тексты. • Ты умеешь работать в Figma (или готов быстро научиться). • AI — это твой друг, а не враг. Ты легко работаешь с инструментами вроде ChatGPT. • Ты в теме всех актуальных трендов в копирайтинге и соцсетях. • Ты креативный, организованный и умеешь работать в команде.   Что предлагаем: • Свободный график и возможность работать из любой точки мира. • Проекты для крупных и интересных брендов. • Дружную и креативную команду. • Постоянное развитие и много возможностей для роста. Если это про тебя, ждем твое резюме и портфолио. Давай создавать крутой контент вместе!  ",,UX-редактор,45000,3-6
107960380,Ведущий редактор,"Мы в поиске того самого человека, который дышит трендами, живет текстами и не представляет жизни без креативных решений. Если ты можешь зацепить внимание одним предложением и не боишься экспериментировать с форматами, то наша вакансия для тебя.   Что нужно будет делать: • Создавать и редактировать тексты для соцсетей, которые захватывают внимание и вызывают эмоции. От короткой цепляющей подводки до увлекательного лонгрида. • Придумывать идеи для контента, которые удивляют и вдохновляют. • Активно использовать ChatGPT и другие AI-инструменты для ускорения процесса и генерации свежих идей. • Работать с дизайнерами через Figma, чтобы текст и визуал были на одной волне. • Следить за трендами в копирайтинге и социальных медиа, чтобы наши клиенты всегда были на гребне волны. • Поддерживать фирменный стиль и голос бренда в каждом тексте.   Кто нам нужен: • Ты уже не новичок в копирайтинге для соцмедиа (опыт от 2 лет). • У тебя отличный русский язык и ты знаешь, как писать цепляющие тексты. • Ты умеешь работать в Figma (или готов быстро научиться). • AI — это твой друг, а не враг. Ты легко работаешь с инструментами вроде ChatGPT. • Ты в теме всех актуальных трендов в копирайтинге и соцсетях. • Ты креативный, организованный и умеешь работать в команде.   Что предлагаем: • Свободный график и возможность работать из любой точки мира. • Проекты для крупных и интересных брендов. • Дружную и креативную команду. • Постоянное развитие и много возможностей для роста. Если это про тебя, ждем твое резюме и портфолио. Давай создавать крутой контент вместе!  ",,UX-редактор,45000,3-6
113147015,UX-редактор,"Магнит — одна из крупнейших розничных сетей России, которая активно наращивает темпы в айти. Наши продуктовая редакция пишет тексты для Магнита, Магнит Маркета и дискаунтеров В1. Задач становится больше, поэтому мы расширяем команду и сейчас в поисках опытного UX-редактора, который сможет работать с пользовательскими сценариями любой сложности. Чем предстоит заниматься:  Писать тексты для интерфейсов приложения и сайта, иногда заниматься и другими форматами: сервисными пушами, лендингами, баннерами и сторис Выстраивать тесное взаимодействие с продуктовой командой Анализировать и улучшать редакторские процессы Брать или инициировать стратегические задачи редакции и вести их до результата Поддерживать и развивать голос бренда и редполитику  Примеры возможных задач:  Подготовить тексты для обновлённого сценария регистрации, раздела с настройками уведомлений, сценария с отзывами о магазине и заказе Подготовить гайд с рекомендациями и правилами по написанию разных видов пушей Переписать тексты для чат-бота Помочь дизайнерам с интерфейсами внутреннего приложения и сайта для сотрудников, если позволяет загрузка Написать тексты для флоу самовывоза из аптек, понятно отредактировать интерфейсы и FAQ для сборщиков и курьеров  Будет здорово, если вы: Напишете в сопроводительном письме, чем вас привлекает UX-редактура, а что в ней, на ваш взгляд, неприемлемо. Ожидаем, что вы:  Работаете с продуктовыми текстами не меньше полутора лет, лучше — дольше Умеете аргументировать и отстаивать свою точку зрения, не скатываясь в менторский тон Знаете, как работать с Figma, Miro, Notion и таск-менеджерами а-ля Jira Самостоятельны и неравнодушны к качеству Грамотно пишете и любите типографику. А если чего-то не знаете или сомневаетесь, то поисследуете вопрос на разных ресурсах, а не остановитесь на «да вроде так»  Мы предлагаем:  Работу в сильной продуктовой культуре с командой с большим опытом в ecom, логистике и развитии маркетплейсов  Можете работать удалённо или в нашем уютном офисе в 7–8 минутах ходьбы от м. Белорусская в бизнес-центре «Большевик»   Понятные и достижимые цели с квартальными премиями   ДМС со стоматологией после испытательного срока, скидки на изучение языков, спорт и другие категории  ",Atlassian Jira;Figma;UI/UX Дизайн;Написание и редактирование текстов;Работа в команде;Разработка чат-ботов;Умение обосновывать свою позицию;Управление проектами,UX-редактор,0,1-3
fd11c071-ce96-11ef-80a8-25abf1fceba2,Эксперт поддержки пользователей в социальных сетях,"Сейчас мы ищем кандидатов, которые готовы развиваться в сфере клиентского опыта. Наша команда делает Почту удобнее каждый день — мы защищаем пользователей от спама, автоматически сортируем письма по папкам, выделяем важные и скрываем ненужные сообщения, предугадываем, что пользователь хочет написать, и предлагаем готовый текст ответа. Мы создаём лучший инструмент для обмена и хранения информации, а также для решения повседневных задач людей и компаний. Чем предстоит заниматься:  отвечать на обращения по проектам Mail в социальных сетях и через почту. Например, объяснить начинающему пользователю, как найти нужное письмо, или помочь студенту, который не знает, как изменить аватарку в почтовом ящике; взаимодействовать с технической службой: помогать в сборе данных для диагностики багов; общаться с остальными командами — пользователи зачастую делятся фидбэком, важно вовремя передавать его в надёжные руки профильных специалистов.  Эта должность идеально подойдёт, если вы:   умеете доносить сложные вещи простым языком — мы поддержка с человеческим лицом;   готовы обучаться новому и восприимчивы к любой информации;   активный пользователь интернет-платформ и знаете, как почистить кеш;   доброжелательны, готовы искать и предлагать пользователям доступные альтернативы для решения проблемы.   Плюсом будет опыт работы в поддержке или кол-центрах.
",,UX-редактор,0,0
fcd46951-ce96-11ef-80a8-25abf1fceba2,Эксперт поддержки пользователей в социальных сетях,"Сейчас мы ищем кандидатов, которые готовы развиваться в сфере клиентского опыта. Наша команда делает Почту удобнее каждый день — мы защищаем пользователей от спама, автоматически сортируем письма по папкам, выделяем важные и скрываем ненужные сообщения, предугадываем, что пользователь хочет написать, и предлагаем готовый текст ответа. Мы создаём лучший инструмент для обмена и хранения информации, а также для решения повседневных задач людей и компаний. Чем предстоит заниматься:  отвечать на обращения по проектам Mail в социальных сетях и через почту. Например, объяснить начинающему пользователю, как найти нужное письмо, или помочь студенту, который не знает, как изменить аватарку в почтовом ящике; взаимодействовать с технической службой: помогать в сборе данных для диагностики багов; общаться с остальными командами — пользователи зачастую делятся фидбэком, важно вовремя передавать его в надёжные руки профильных специалистов.  Эта должность идеально подойдёт, если вы:   умеете доносить сложные вещи простым языком — мы поддержка с человеческим лицом;   готовы обучаться новому и восприимчивы к любой информации;   активный пользователь интернет-платформ и знаете, как почистить кеш;   доброжелательны, готовы искать и предлагать пользователям доступные альтернативы для решения проблемы.   Плюсом будет опыт работы в поддержке или кол-центрах.
",,UX-редактор,0,0
fce643a0-ce96-11ef-80a8-25abf1fceba2,Эксперт поддержки пользователей в социальных сетях,"Сейчас мы ищем кандидатов, которые готовы развиваться в сфере клиентского опыта. Наша команда делает Почту удобнее каждый день — мы защищаем пользователей от спама, автоматически сортируем письма по папкам, выделяем важные и скрываем ненужные сообщения, предугадываем, что пользователь хочет написать, и предлагаем готовый текст ответа. Мы создаём лучший инструмент для обмена и хранения информации, а также для решения повседневных задач людей и компаний. Чем предстоит заниматься:  отвечать на обращения по проектам Mail в социальных сетях и через почту. Например, объяснить начинающему пользователю, как найти нужное письмо, или помочь студенту, который не знает, как изменить аватарку в почтовом ящике; взаимодействовать с технической службой: помогать в сборе данных для диагностики багов; общаться с остальными командами — пользователи зачастую делятся фидбэком, важно вовремя передавать его в надёжные руки профильных специалистов.  Эта должность идеально подойдёт, если вы:   умеете доносить сложные вещи простым языком — мы поддержка с человеческим лицом;   готовы обучаться новому и восприимчивы к любой информации;   активный пользователь интернет-платформ и знаете, как почистить кеш;   доброжелательны, готовы искать и предлагать пользователям доступные альтернативы для решения проблемы.   Плюсом будет опыт работы в поддержке или кол-центрах.
",,UX-редактор,0,0
