ID вакансии,Название вакансии,Описание вакансии,Ключевые навыки,Опыт работы,Название специальности,Заработная плата
e1d28825-b138-11ee-8f82-e7d0d2cf29b1,Разработчик PostgreSQL,"Управление и настройка баз данных PostgreSQL, включая репликацию и кластеризацию Разработка новых функций, хранимых процедур и требуемых запросов для оптимизации работы с базой данных PostgreSQL; Оптимизация существующих функций, хранимых процедур и запросов для ускорения работы PostgreSQL; Мониторинг производительности баз данных, выявление и устранение узких мест; Разработка и оптимизация процессов резервного копирования и восстановления данных; Управление правами доступа и контроль безопасности баз данных PostgreSQL.
Высшее образование; Опыт работы с базами данных PostgreSQL не менее 3 лет; Глубокое понимание внутренней архитектуры и механизмов работы PostgreSQL; Навыки разработки на языке SQL и PL/pgSQL для создания сложных запросов, триггеров и функций; Опыт в настройке и оптимизации производительности баз данных PostgreSQL; Знание методов и технологий резервного копирования и восстановления данных; Умение работать в команде и налаживать эффективное взаимодействие с другими разработчиками и администраторами.
",PostgreSQL;Оптимизация бизнес-процессов;Работа в команде;Работа с базами данных;Резервное копирование;Управление данными;Хранение и обработка данных,1-3,Администратор баз данных,0
116627256,Администратор каталога ПО,"Naumen SAM — это решение для управления программными активами в организации, которое позволяет снизить риски использования ПО, оптимизировать затраты на приобретение и поддержку ПО, повысить эффективность управления лицензиями и сократить трудозатраты сотрудников. Основополагающим модулем продукта является Каталог ПО, который содержит в себе информацию о клиентских данных, в которых более 10 000 различных программных продуктов. Для дальнейшего развития и поддержки каталога ищем Администратора каталога ПО, который не боится работать с большими объемами данных, внимателен к мелочам и готов к монотонной работе. Над чем предстоит работать:   наполнять и актуализировать данные каталога ПО включающего информацию о вендорах, программных продуктах, их версиях и редакциях;   анализировать инвентарные данные об установленном ПО и формировать правила нормализации;   анализировать правила лицензирования программных продуктов;   участвовать в развитии продукта, проектах внедрения и поддержке клиентов.    Для того, чтобы справляться с задачами нужны:   опыт работы от 0,5 года, возможен учебный или коммерческий;   умение работать с данными в Excel;   умение анализировать большие объемы информации;   умение находить нужную информацию из разных источников;   знание технического английского языка на уровне чтения документации.   Будет плюсом:   знание методологии управления программными активами SAM;   знание правил лицензирования программных продуктов крупных российских и зарубежных вендоров Microsoft, Oracle, SAP;   опыт работы с договорами на закупку программных продуктов НМА;   опыт работы в технической поддержке рабочих мест.  ",,1-3,Администратор баз данных,0
abaea3e2-7f38-11ef-8511-25abf1fceba2,Инженер в команду IdM-платформы ВКонтакте,"Мы организуем и обслуживаем процессы Access Management: поддерживаем ролевые модели, разрабатываем и внедряем решения по автоматизации. Ищем человека, который усилит нашу команду. Вам предстоит: • разрабатывать и поддерживать инструменты и решения на платформе IdM, используемой в компании; • администрировать и развивать IdM-системы, веб-портал самообслуживания для заказа доступов; • документировать решения и сопровождать их. У нас интересно, потому что:  • вы сможете реализовать себя сразу в нескольких сферах IT — в разработке, информационной безопасности, бизнес-аналитике; • результаты ваших трудов сделают работу коллег проще и удобнее. Мы ожидаем, что вы: • работали с IdM-системами (предпочтительно c One Identity Manager); • программировали в среде .NET; • работали с СУБД (предпочтительно с MS SQL), умеете писать SQL-запросы; • разбираетесь в серверных ОС, например в Microsoft Windows или других, а также в службах каталога Active Directory (LDAP, IIS); • знаете Bash, PowerShell; • разбираетесь в основных протоколах передачи данных, элементарных структурах данных и алгоритмах; • стремитесь соблюдать принципы ООП и SOLID; • владеете базовыми принципами организации информационной безопасности; • умеете читать и разбирать чужой код, проводить рефакторинг и оптимизацию; • можете самостоятельно собирать требования к задачам и принимать решения при разработке. Приглашаем специалиста, который сможет посещать офис в Москве или Санкт-Петербурге, работать в комбинированном режиме или удалённо. Ждём ваших откликов. Удачи!
",,0,Администратор баз данных,0
110285272,Администратор СУБД,"Обязанности:   эксплуатация баз данных MS SQL, PostgreSQL;   контроль производительности баз данных;   установка и настройка;   оптимизация и прочий тюнинг;   резервное копирование и восстановление;   автоматизация процессов администрирования.   Требования:   опыт работы в сфере IT от 1 года;   уровень знаний администрирования СУБД MS SQL и PostgreSQL;   знания языка запросов SQL.   Условия:  Работа в аккредитованной IT-компании со всеми сопутствующими льготами; Стабильный оклад + индексация заработной платы; ДМС; Компенсация расходов на спортивный досуг; Возможность профессионального обучения и сертификации с оплатой полностью за счёт компании; Корпоративный волейбол, интеллектуальный клуб «60 секунд», тренинги и многое другое; Корпоративные социальные выплаты день металлурга; 5-ти дневная рабочая неделя с 8-ми часовым рабочим днём, режим работы с 9-00 до 18-00. Офис в центре Екатеринбурга, комфортная рабочая обстановка и дружный коллектив. ",Microsoft SQL Server;PostgreSQL,1-3,Администратор баз данных,0
116630426,Senior SQL-разработчик,"Wildberries — это крупнейший маркетплейс России, 30 млн пользователей ежедневно и технологические задачи. Наша компания стабильно развивается и работает в усиленном режиме: использует современный стек и новейшие технологии, разрабатывает множество новых hi-tech продуктов. Мы в поисках SQL-разработчика в команду Платформы технической поддержки. Команда разрабатывает современные рыночные продуктовые решения для нашей службы поддержки, одной из из самых больших служб в России.Мы работает над созданием платформы, внутри которой будет несколько систем:  менеджмент система система обучения сервис уведомлений и всех пушей WFM и т.д.  Ваши задачи:   Участие в проектирование и разработке информационных систем на базе PostgreSQL Написание пакетов, функций, процедур Моделирование структур данных Оптимизация SQL-запросов Опыт решения проблем производительности БД Знание основных подходов к проектированию и нормализации БД  Мы ожидаем:   Отличное знание SQL Понимание принципов работы реляционных СУБД Уверенное знание СУБД PostgreSQL Знание методик организации процесса разработки в команде Опыт работы на Linux Опыт разработки архитектур баз данных Опыт оптимизации сложных запросов и структуры баз данных Опыт работы с высоконагруженными базами данных  Условия:  Официальное оформление в соответствии с ТК РФ Конкурентный уровень заработной платы Бонусы IT компании График работы: 5/2 с гибким началом рабочего дня  Просторные и уютные офисы в Москве и Питере  ",,3-6,Администратор баз данных,0
116631060,Администратор баз данных,"Международная компания, которая разрабатывает надежные и актуальные IT-решения для b2c и b2b сегмента развлекательной, игровой и спортивной тематики ищет Администратора баз данных. Вакансия с релокацией на Кипр. Предстоит:  Администрировать MongoDB; Участвовать в предотвращении и устранении инцидентов; Консультировать разработчиков в рамках работы с БД; Развивать и поддерживать автоматизацию, мониторинг связанные с БД.  Требования:  Опыт работы с Linux: Ubuntu, CentOS; Опыт автоматизации и оркестрации: Ansible; Опыт работы с системами мониторинга: Zabbix, Prometheus, Grafana, Kibana; Опыт работы с Git.  Условия: Социальные гарантии:  Белая заработная плата, которая зависит от пожеланий, скиллов и опыта; Годовой бонус (13-я ЗП); Реферальная программа за успешную рекомендацию кандидата; Помощь с релокацией, оформление рабочей визы, а также помощь в оформлении документов для членов семьи; Оплачиваемый отпуск, подарки для сотрудников и их детей.  Комфортные условия работы:  Формат работы - офис, гибрид; Рабочее место оборудовано современной техникой с учетом Ваших пожеланий; Гибкое начало рабочего дня; Корпоративное питание: завтраки и обеды; Русскоязычная команда; Отсутствие бюрократии, вопросы решаются оперативно, без многочисленных согласований.  Перспективы самореализации и развития:  Корпоративные скидки на занятия по английскому языку; Наличие большого количества задач, которые дают возможность материального и профессионального роста; Поездки на ИТ-конференции, митапы, учебные курсы за счет компании; Большая высококвалифицированная команда, к которой всегда можно обратиться. ",,3-6,Администратор баз данных,0
108110147,Разработчик PostgreSQL,"Обязанности:  Разработка и поддержка модулей PostgreSQL на языке PL/pgSQL Разработка структуры данных БД PostgreSQL Оптимизация производительности кода Использование процедур, функций, циклов и условных операторов; Написание технической документации  Требования:  Высшее образование Уверенное знание PL/pgSQL Навыки оптимизации запросов Опыт разработки на PL/pgSQL Опыт работы в команде разработчиков Умение разбираться в чужом коде Опыт работы с Oracle PL/SQL приветствуется  Условия:   Достойный уровень оплаты труда (обсуждается с кандидатом индивидуально по результатам собеседования)   Оформление по ТК РФ   ДМС, включая стоматологию   Корпоративное обучение    Удаленный формат работы c возможностью приехать в офис в случае необходимости   Офис расположен рядом с м. Проспект Мира (ул. Гиляровского, д. 39, стр. 3)  ",Code review;Oracle Database;PostgreSQL;Проектирование баз данных;Работа в команде;Разработка технической документации,1-3,Администратор баз данных,0
108109647,Разработчик PostgreSQL,"Обязанности:  Разработка и поддержка модулей PostgreSQL на языке PL/pgSQL Разработка структуры данных БД PostgreSQL Оптимизация производительности кода Использование процедур, функций, циклов и условных операторов; Написание технической документации  Требования:  Высшее образование Уверенное знание PL/pgSQL Навыки оптимизации запросов Опыт разработки на PL/pgSQL Опыт работы в команде разработчиков Умение разбираться в чужом коде Опыт работы с Oracle PL/SQL приветствуется  Условия:   Достойный уровень оплаты труда (обсуждается с кандидатом индивидуально по результатам собеседования)   Оформление по ТК РФ   ДМС, включая стоматологию   Корпоративное обучение   Удаленный формат работы c возможностью приехать в офис в случае необходимости  ",Code review;Oracle Database;PostgreSQL;Проектирование баз данных;Работа в команде;Разработка технической документации,1-3,Администратор баз данных,0
110985330,"Администратор баз данных Oracle, SQL, PostgreSQL","Обязанности: - Обеспечение бесперебойного доступа к базам данных, поддерживаемой в соответствии с требованиями бизнес-приложений и регуляторов. - Управление базами данных и постоянное обслуживание, обеспечивающее непрерывную достпуность данных приложения. - Администрирование и техническое обслуживание базы данных. - Управление жизненным циклом ПО для баз данных. - Участие в установках релизов и устранений уязвимостей на базах данных. - Мониторинг доступности и производительности. - Поддержка резервного копирования и восстановления (соблюдения RPO, RTO), реализация автоматических процессов. - Участие в DR тестах, выстраивание схем репликации данных на резервную площадку. - Участие в расследованиях и решение инцидентов, связанных с базами данных.   Требования:  Релевантный опыт работы. Практическое знание Oracle. Как плюс, MS SQL, PostgreSQL.  Условия:  Достойный уровень заработной платы. Команда профессионалов. Комфортный офис в пешей доступности от метро. Гибридный режим работы, НЕ 100% УДАЛЕНКА! ",Microsoft SQL Server;Oracle Database;PostgreSQL;Резервное копирование;Управление данными;Управление продуктом,3-6,Администратор баз данных,0
e6afab41-7efe-11ef-8511-25abf1fceba2,Главный специалист (администратор баз данных),"Обязанности:  Администрирование БД: Oracle, Microsoft SQL Server, PostgreSQL, репликации, установка патчей, учётные записи, права доступа; Администрирование серверов: Linux, Microsoft Windows, Docker, Apache Tomcat; Внедрение и настройка новых готовых систем; Разработка и согласование документации на разрабатываемые и внедряемые системы; Написание аналитических запросов к БД по запросам пользователей; Написание скриптов автоматизации (cmd/bash или Python или PowerShell).  Требования:  Высшее профессиональное образование по специальностям: «Математика» или «Информационные технологии». Опыт работы в по профилю не менее 5 лет.  Необходимые знания и навыки:  Программы: Oracle, PostgreSQL, Microsoft SQL Server, Linux, Docker, Apache Tomcat, bash, Python. Уверенный пользователь ПК (Стандартный пакет MS Office, Интернет, электронная почта).  Условия:  Режим работы: понедельник-пятница с 8:00 до 17:00; Заработная плата: оклад + ежемесячная премия + годовое вознаграждение; Премия ко Дню нефтяника, материальная помощь; Льготы по коллективному договору; ДМС, Санаторно-курортное обеспечение; Возможность обучения за счет работодателя; Корпоративные спортивные мероприятия и конкурсы. 
",Apache;Docker;Java/Kotlin/Scala;Microsoft Office;Microsoft SQL Server;Oracle Database;PostgreSQL;PowerShell;Python;Администрирование Windows;Администрирование серверов и рабочих станций;Базовая работа с Linux;Базовые знания ПК;Ведение корреспонденции,0,Администратор баз данных,0
