Муниципалитет,Английский язык_РЭ_2024,Астрономия_РЭ_2024,Биология_РЭ_2024,География_РЭ_2024,Информатика_РЭ_2024,Искусство_РЭ_2024,Испанский язык_РЭ_2024,История_РЭ_2024,Итальянский язык_РЭ_2024,Китайский язык_РЭ_2024,Литература_РЭ_2024,Математика_РЭ_2024,Немецкий язык_РЭ_2024,Обществознание_РЭ_2024,Олимпиада им. В.Я. Струве по астрономии_РЭ_2024,Олимпиада им. Дж.К. Максвелла по физике_РЭ_2024,Олимпиада им. Л.Эйлера по математике_РЭ_2024,Олимпиада им. М. Келдыша по информатике_РЭ_2024,Основы безопасности жизнедеятельности_РЭ_2024,Право_РЭ_2024,Русский язык_РЭ_2024,Технология_РЭ_2024,Физика_РЭ_2024,Физическая культура_РЭ_2024,Французский язык_РЭ_2024,Химия_РЭ_2024,Экология_РЭ_2024,Экономика_РЭ_2024
Батецкий  район,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Боровичский  район,5.0,0.0,3.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,15.0,7.0,2.0,7.0,0.0,0.0,2.0,0.0,2.0,3.0,17.0,0.0,3.0,7.0,0.0,3.0,13.0,0.0
Валдайский  район,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Волотовский  округ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Демянский  округ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Крестецкий  округ,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0
Любытинский  район,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Маловишерский район,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0
Марёвский  округ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мошенской  округ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Новгородский  район,2.0,1.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
Окуловский район,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
Парфинский район,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Пестовский  округ,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0
Поддорский район,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Солецкий  округ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Старорусский район,12.0,4.0,2.0,2.0,4.0,6.0,0.0,15.0,0.0,0.0,20.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,6.0,8.0,15.0,9.0,5.0,4.0,0.0,9.0,21.0,2.0
Хвойнинский  округ,2.0,2.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,0.0,9.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0
Холмский  район,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Чудовский район,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,7.0,5.0,0.0,0.0,1.0,0.0,5.0,3.0,6.0,1.0,1.0,4.0,0.0,0.0,3.0,3.0
Шимский район,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
г. Великий Новгород,21.0,11.0,21.0,13.0,23.0,25.0,0.0,67.0,0.0,2.0,42.0,29.0,9.0,35.0,0.0,2.0,4.0,3.0,43.0,14.0,46.0,11.0,25.0,14.0,6.0,19.0,23.0,17.0
