Муниципалитет,Химия_Р_2025
Батецкий  район,0.0
Боровичский  район,5.0
Валдайский  район,0.0
Волотовский  округ,0.0
Демянский  округ,0.0
Крестецкий  округ,0.0
Любытинский  район,0.0
Маловишерский район,0.0
Марёвский  округ,0.0
Мошенской  округ,0.0
Новгородский  район,0.0
Окуловский район,0.0
Парфинский район,0.0
Пестовский  округ,0.0
Поддорский район,0.0
Солецкий  округ,5.0
Старорусский район,0.0
Хвойнинский  округ,0.0
Холмский  район,0.0
Чудовский район,0.0
Шимский район,0.0
г. Великий Новгород,25.0
