Муниципалитет,Английский язык_РЭ_2025,Астрономия_РЭ_2025,Биология_РЭ_2025,География_РЭ_2025,Информатика_РЭ_2025,Искусство_РЭ_2025,Испанский язык_РЭ_2025,История_РЭ_2025,Итальянский язык_РЭ_2025,Китайский язык_РЭ_2025,Литература_РЭ_2025,Математика_РЭ_2025,Немецкий язык_РЭ_2025,Обществознание_РЭ_2025,Олимпиада им. В.Я. Струве по астрономии_РЭ_2025,Олимпиада им. Дж.К. Максвелла по физике_РЭ_2025,Олимпиада им. Л.Эйлера по математике_РЭ_2025,Олимпиада им. М. Келдыша по информатике_РЭ_2025,Основы безопасности жизнедеятельности_РЭ_2025,Право_РЭ_2025,Русский язык_РЭ_2025,Технология_РЭ_2025,Физика_РЭ_2025,Физическая культура_РЭ_2025,Французский язык_РЭ_2025,Экология_РЭ_2025,Экономика_РЭ_2025
Батецкий  район,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Боровичский  район,4.0,0.0,3.0,3.0,2.0,6.0,0.0,,0.0,0.0,19.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,8.0,0.0,4.0,0.0
Валдайский  район,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Волотовский  округ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Демянский  округ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
Крестецкий  округ,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Любытинский  район,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0
Маловишерский район,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Марёвский  округ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Мошенской  округ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Новгородский  район,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0
